2024-06-05 16:07:18 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:18 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:18 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:20 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:20 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:20 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:21 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:21 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:21 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:22 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:22 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:22 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:23 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:23 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:23 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:24 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:24 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:24 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:25 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:25 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:25 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:26 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:26 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:26 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:27 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:27 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:27 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:29 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:29 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:29 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:30 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:30 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:30 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:31 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:31 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:31 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:32 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:32 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:32 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:33 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:33 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:33 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:34 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:34 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:34 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:35 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:35 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:35 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:36 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:36 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:36 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:38 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:38 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:38 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:39 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:39 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:39 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:40 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:40 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:40 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:42 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:42 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:42 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:43 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:43 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:43 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:44 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:44 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:44 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:45 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:45 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:45 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:47 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:47 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:47 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:48 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:48 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:48 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:49 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:49 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:49 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:50 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:50 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:50 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:51 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:51 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:51 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:52 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:52 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:52 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:53 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:53 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:53 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:54 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:54 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:54 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:56 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:56 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:56 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:57 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:57 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:57 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:58 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:58 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:58 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:59 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:59 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:59 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:08:00 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:08:00 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:08:00 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:08:01 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:08:01 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:08:01 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:08:03 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:08:03 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:08:03 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:08:04 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:08:04 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:08:04 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:08:05 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:08:05 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:08:05 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
